seed,,1234,1234,1234,1234,308,308,308,308,1028,1028,1028,1028
type,,standard_negation,local_negation,contradiction,paraphrase,standard_negation,local_negation,contradiction,paraphrase,standard_negation,local_negation,contradiction,paraphrase
model,fewshot,,,,,,,,,,,,
Qwen__Qwen3-0.6B,0shot,0,0,0,0,0,0,0,0,0,0,0,0
Qwen__Qwen3-0.6B,1shot,645,276,139,224,635,298,126,225,636,307,112,229
Qwen__Qwen3-0.6B,2shot,590,304,146,244,637,292,135,220,607,301,138,238
Qwen__Qwen3-0.6B,5shot,684,297,88,215,694,304,74,212,710,293,73,208
Qwen__Qwen3-0.6B,10shot,710,301,70,203,732,272,61,219,722,297,60,205
Qwen__Qwen3-32B,0shot,0,0,0,0,0,0,0,0,0,0,0,0
Qwen__Qwen3-32B,1shot,1217,63,3,1,1216,61,4,3,1205,69,6,4
Qwen__Qwen3-32B,2shot,1223,57,2,2,1216,63,4,1,1210,68,4,2
Qwen__Qwen3-32B,5shot,1236,46,1,1,1223,56,4,1,1229,52,1,2
Qwen__Qwen3-32B,10shot,1241,39,2,2,1242,37,2,3,1247,33,3,1
gpt-4.1,0shot,0,0,0,0,0,0,0,0,0,0,0,0
gpt-4.1,1shot,0,0,0,0,0,0,0,0,0,0,0,0
gpt-4.1,2shot,0,0,0,0,0,0,0,0,0,0,0,0
gpt-4.1,5shot,0,0,0,0,0,0,0,0,0,0,0,0
gpt-4.1,10shot,0,0,0,0,0,0,0,0,0,0,0,0
gpt-4.1-mini,0shot,0,0,0,0,0,0,0,0,0,0,0,0
gpt-4.1-mini,1shot,0,0,0,0,0,0,0,0,0,0,0,0
gpt-4.1-mini,2shot,0,0,0,0,0,0,0,0,0,0,0,0
gpt-4.1-mini,5shot,0,0,0,0,0,0,0,0,0,0,0,0
gpt-4.1-mini,10shot,0,0,0,0,0,0,0,0,0,0,0,0
kakaocorp__kanana-1.5-8b-instruct-2505,0shot,0,0,0,0,0,0,0,0,0,0,0,0
kakaocorp__kanana-1.5-8b-instruct-2505,1shot,883,266,43,92,876,256,53,99,840,297,50,97
kakaocorp__kanana-1.5-8b-instruct-2505,2shot,938,253,35,58,968,226,31,59,958,221,38,67
kakaocorp__kanana-1.5-8b-instruct-2505,5shot,1043,176,27,38,1027,191,24,42,1051,174,17,42
kakaocorp__kanana-1.5-8b-instruct-2505,10shot,1051,172,25,36,1055,176,23,30,1066,165,19,34
